asset,label,type,direction,start,end,days,move_pct,shock_sessions,shock_share_of_move,spy_pct,tlt_pct,headline_themes,narrative,narrative_confidence,origins,prob_up_h7,share_p50_h7_negative,share_consensus_sell,share_consensus_buy,share_signal_long,mean_exposure_pct,exposure_weighted_ret_pct
BTC,BTC/USD,crypto,down,2021-02-21,2021-02-28,7,-21.3,0,-0.0,-2.6,-0.1,,,,,,,,,,,
BTC,BTC/USD,crypto,up,2021-02-28,2021-03-13,13,35.3,0,0.0,3.7,-4.8,,,,,,,,,,,
BTC,BTC/USD,crypto,up,2021-03-25,2021-04-13,19,24.0,0,0.0,5.9,1.1,,,,9.0,0.652,0.0,0.0,1.0,0.889,88.9,2.6
BTC,BTC/USD,crypto,down,2021-04-13,2021-04-25,12,-22.8,0,-0.0,0.9,1.1,,,,13.0,0.645,0.0,0.0,0.538,0.538,53.8,-14.5
BTC,BTC/USD,crypto,up,2021-04-25,2021-05-08,13,20.1,1,0.53,1.3,-0.5,,,,14.0,0.591,0.0,0.0,0.0,0.143,14.3,-2.0
BTC,BTC/USD,crypto,down,2021-05-08,2021-06-08,31,-43.3,2,0.51,0.0,1.0,,Tesla stopped Bitcoin payments; China banned institutional services and mining,high,32.0,0.607,0.0,0.0,0.031,0.594,59.4,-30.2
BTC,BTC/USD,crypto,up,2021-06-08,2021-06-14,6,21.3,0,0.0,0.7,0.5,,,,7.0,0.512,0.429,0.0,0.0,0.429,42.9,-5.0
BTC,BTC/USD,crypto,down,2021-06-14,2021-07-20,36,-26.5,0,-0.0,1.7,6.4,,,,37.0,0.46,0.784,0.027,0.0,0.351,35.1,-10.0
BTC,BTC/USD,crypto,up,2021-07-20,2021-09-06,48,77.0,1,0.13,5.1,-1.0,,,,49.0,0.501,0.429,0.0,0.02,0.918,91.8,36.1
BTC,BTC/USD,crypto,down,2021-09-06,2021-09-21,15,-22.8,2,0.82,-4.0,1.8,,,,16.0,0.573,0.062,0.0,0.625,0.875,87.5,-18.4
BTC,BTC/USD,crypto,up,2021-09-21,2021-11-08,48,66.0,1,0.19,8.1,-1.0,,,,49.0,0.5,0.469,0.0,0.0,0.918,91.8,56.8
BTC,BTC/USD,crypto,down,2021-11-08,2022-01-22,75,-48.1,2,0.31,-6.3,-3.4,,"Fed pivot to tightening (taper doubled, QT signalled), Omicron, Kazakhstan hash-rate hit, Russia ban proposal",high,76.0,0.549,0.329,0.0,0.026,0.737,73.7,-36.7
BTC,BTC/USD,crypto,up,2022-01-22,2022-02-15,24,27.0,1,0.45,1.9,-5.9,,,,25.0,0.463,0.72,0.0,0.0,0.8,80.0,17.9
BTC,BTC/USD,crypto,up,2022-02-21,2022-03-01,8,19.9,1,0.75,-1.0,2.3,,,,9.0,0.504,0.667,0.0,0.111,0.111,11.1,2.9
BTC,BTC/USD,crypto,up,2022-03-13,2022-03-29,16,25.6,0,0.0,10.2,-3.1,,,,17.0,0.441,0.824,0.059,0.059,0.706,70.6,17.3
BTC,BTC/USD,crypto,down,2022-03-29,2022-06-18,81,-60.1,5,0.53,-20.4,-13.8,,"Tightening cycle (50 bp May, 75 bp June; CPI 8%+) with Terra, Celsius and Three Arrows failing inside it",high,82.0,0.501,0.512,0.012,0.122,0.488,48.8,-40.8
BTC,BTC/USD,crypto,up,2022-06-18,2022-08-13,56,29.1,1,0.29,16.7,3.5,,,,57.0,0.421,0.877,0.193,0.018,0.404,40.4,-16.5
BTC,BTC/USD,crypto,down,2022-08-13,2022-09-06,24,-23.2,1,0.41,-8.5,-6.8,,,,25.0,0.446,0.76,0.16,0.04,0.52,52.0,-6.5
BTC,BTC/USD,crypto,up,2022-09-06,2022-09-12,6,19.2,1,0.57,5.2,-0.1,,,,7.0,0.381,1.0,0.286,0.0,0.143,14.3,-9.9
BTC,BTC/USD,crypto,down,2022-11-05,2022-11-21,16,-26.0,2,0.86,4.8,6.2,,,,17.0,0.475,0.647,0.059,0.0,0.353,35.3,-13.6
BTC,BTC/USD,crypto,up,2022-11-21,2023-02-20,91,57.6,7,0.8,3.7,3.1,,,,92.0,0.391,0.978,0.37,0.0,0.707,70.7,36.7
BTC,BTC/USD,crypto,up,2023-03-10,2023-04-14,35,50.8,3,0.61,7.3,-0.2,,,,36.0,0.421,0.667,0.333,0.0,1.0,100.0,49.9
BTC,BTC/USD,crypto,up,2023-06-14,2023-07-13,29,25.3,1,0.16,3.2,0.1,,,,30.0,0.338,0.967,0.567,0.0,1.0,100.0,20.6
BTC,BTC/USD,crypto,down,2023-07-13,2023-09-11,60,-20.1,2,0.5,-0.2,-7.5,,,,61.0,0.405,0.967,0.033,0.0,0.705,70.5,-19.7
BTC,BTC/USD,crypto,up,2023-09-11,2024-01-08,119,86.8,5,0.5,6.6,5.1,{'Fed / rates': 1},Spot-ETF anticipation after Grayscale's court win (29 Aug) through approval on 10 Jan 2024,high,120.0,0.434,0.783,0.242,0.017,0.85,85.0,55.3
BTC,BTC/USD,crypto,up,2024-01-22,2024-03-13,51,85.1,3,0.36,6.7,0.4,"{'Fed / rates': 18, 'flows': 7, 'AI / product': 6}",Spot-ETF inflows after launch drove a new all-time high in March ahead of the halving,high,52.0,0.511,0.365,0.0,0.0,1.0,100.0,80.6
BTC,BTC/USD,crypto,up,2024-05-01,2024-05-20,19,22.5,1,0.36,5.9,2.9,"{'Fed / rates': 16, 'earnings / guidance': 5, 'flows': 5}",,,20.0,0.51,0.4,0.05,0.1,1.0,100.0,20.2
